Effective Date,Class,Season,Distribution Rate,Supply Rate,Transmission Rate,Total Rate
2025-01-01,RA,Winter,5.2319,8.4472,1.8447,15.5238
2025-01-01,RH,Winter,9.2800,8.4472,1.2097,18.9369
2025-01-01,RS,All,10.0197,8.4472,2.4048,20.8717
2025-05-01,RA,Summer,10.0197,8.4472,1.8447,20.3116
2025-05-01,RH,Summer,10.0197,8.4472,1.2097,19.6766
2025-06-01,RA,Summer,9.9997,9.7093,2.2454,21.9544
2025-06-01,RH,Summer,9.9997,9.7093,1.5606,21.2696
2025-06-01,RS,All,9.9997,9.7093,2.7187,22.4277
2025-11-01,RA,Winter,5.2119,9.7093,2.2454,17.1666
2025-11-01,RH,Winter,9.2600,9.7093,1.5606,20.5299
